Date,Year,Month,MonthNo,Quarter,YearMonth
12-04-2025,2025,Apr,4,Q2,2025-04
13-04-2025,2025,Apr,4,Q2,2025-04
14-04-2025,2025,Apr,4,Q2,2025-04
15-04-2025,2025,Apr,4,Q2,2025-04
16-04-2025,2025,Apr,4,Q2,2025-04
17-04-2025,2025,Apr,4,Q2,2025-04
18-04-2025,2025,Apr,4,Q2,2025-04
19-04-2025,2025,Apr,4,Q2,2025-04
20-04-2025,2025,Apr,4,Q2,2025-04
21-04-2025,2025,Apr,4,Q2,2025-04
22-04-2025,2025,Apr,4,Q2,2025-04
23-04-2025,2025,Apr,4,Q2,2025-04
24-04-2025,2025,Apr,4,Q2,2025-04
25-04-2025,2025,Apr,4,Q2,2025-04
26-04-2025,2025,Apr,4,Q2,2025-04
27-04-2025,2025,Apr,4,Q2,2025-04
28-04-2025,2025,Apr,4,Q2,2025-04
29-04-2025,2025,Apr,4,Q2,2025-04
30-04-2025,2025,Apr,4,Q2,2025-04
01-05-2025,2025,May,5,Q2,2025-05
02-05-2025,2025,May,5,Q2,2025-05
03-05-2025,2025,May,5,Q2,2025-05
04-05-2025,2025,May,5,Q2,2025-05
05-05-2025,2025,May,5,Q2,2025-05
06-05-2025,2025,May,5,Q2,2025-05
07-05-2025,2025,May,5,Q2,2025-05
08-05-2025,2025,May,5,Q2,2025-05
09-05-2025,2025,May,5,Q2,2025-05
10-05-2025,2025,May,5,Q2,2025-05
11-05-2025,2025,May,5,Q2,2025-05
12-05-2025,2025,May,5,Q2,2025-05
13-05-2025,2025,May,5,Q2,2025-05
14-05-2025,2025,May,5,Q2,2025-05
15-05-2025,2025,May,5,Q2,2025-05
16-05-2025,2025,May,5,Q2,2025-05
17-05-2025,2025,May,5,Q2,2025-05
18-05-2025,2025,May,5,Q2,2025-05
19-05-2025,2025,May,5,Q2,2025-05
20-05-2025,2025,May,5,Q2,2025-05
21-05-2025,2025,May,5,Q2,2025-05
22-05-2025,2025,May,5,Q2,2025-05
23-05-2025,2025,May,5,Q2,2025-05
24-05-2025,2025,May,5,Q2,2025-05
25-05-2025,2025,May,5,Q2,2025-05
26-05-2025,2025,May,5,Q2,2025-05
27-05-2025,2025,May,5,Q2,2025-05
28-05-2025,2025,May,5,Q2,2025-05
29-05-2025,2025,May,5,Q2,2025-05
30-05-2025,2025,May,5,Q2,2025-05
31-05-2025,2025,May,5,Q2,2025-05
01-06-2025,2025,Jun,6,Q2,2025-06
02-06-2025,2025,Jun,6,Q2,2025-06
03-06-2025,2025,Jun,6,Q2,2025-06
04-06-2025,2025,Jun,6,Q2,2025-06
05-06-2025,2025,Jun,6,Q2,2025-06
06-06-2025,2025,Jun,6,Q2,2025-06
07-06-2025,2025,Jun,6,Q2,2025-06
08-06-2025,2025,Jun,6,Q2,2025-06
09-06-2025,2025,Jun,6,Q2,2025-06
10-06-2025,2025,Jun,6,Q2,2025-06
11-06-2025,2025,Jun,6,Q2,2025-06
12-06-2025,2025,Jun,6,Q2,2025-06
13-06-2025,2025,Jun,6,Q2,2025-06
14-06-2025,2025,Jun,6,Q2,2025-06
15-06-2025,2025,Jun,6,Q2,2025-06
16-06-2025,2025,Jun,6,Q2,2025-06
17-06-2025,2025,Jun,6,Q2,2025-06
18-06-2025,2025,Jun,6,Q2,2025-06
19-06-2025,2025,Jun,6,Q2,2025-06
20-06-2025,2025,Jun,6,Q2,2025-06
21-06-2025,2025,Jun,6,Q2,2025-06
22-06-2025,2025,Jun,6,Q2,2025-06
23-06-2025,2025,Jun,6,Q2,2025-06
24-06-2025,2025,Jun,6,Q2,2025-06
25-06-2025,2025,Jun,6,Q2,2025-06
26-06-2025,2025,Jun,6,Q2,2025-06
27-06-2025,2025,Jun,6,Q2,2025-06
28-06-2025,2025,Jun,6,Q2,2025-06
29-06-2025,2025,Jun,6,Q2,2025-06
30-06-2025,2025,Jun,6,Q2,2025-06
01-07-2025,2025,Jul,7,Q3,2025-07
02-07-2025,2025,Jul,7,Q3,2025-07
03-07-2025,2025,Jul,7,Q3,2025-07
04-07-2025,2025,Jul,7,Q3,2025-07
05-07-2025,2025,Jul,7,Q3,2025-07
06-07-2025,2025,Jul,7,Q3,2025-07
07-07-2025,2025,Jul,7,Q3,2025-07
08-07-2025,2025,Jul,7,Q3,2025-07
09-07-2025,2025,Jul,7,Q3,2025-07
10-07-2025,2025,Jul,7,Q3,2025-07
11-07-2025,2025,Jul,7,Q3,2025-07
12-07-2025,2025,Jul,7,Q3,2025-07
13-07-2025,2025,Jul,7,Q3,2025-07
14-07-2025,2025,Jul,7,Q3,2025-07
15-07-2025,2025,Jul,7,Q3,2025-07
16-07-2025,2025,Jul,7,Q3,2025-07
17-07-2025,2025,Jul,7,Q3,2025-07
18-07-2025,2025,Jul,7,Q3,2025-07
19-07-2025,2025,Jul,7,Q3,2025-07
20-07-2025,2025,Jul,7,Q3,2025-07
21-07-2025,2025,Jul,7,Q3,2025-07
22-07-2025,2025,Jul,7,Q3,2025-07
23-07-2025,2025,Jul,7,Q3,2025-07
24-07-2025,2025,Jul,7,Q3,2025-07
25-07-2025,2025,Jul,7,Q3,2025-07
26-07-2025,2025,Jul,7,Q3,2025-07
27-07-2025,2025,Jul,7,Q3,2025-07
28-07-2025,2025,Jul,7,Q3,2025-07
29-07-2025,2025,Jul,7,Q3,2025-07
30-07-2025,2025,Jul,7,Q3,2025-07
31-07-2025,2025,Jul,7,Q3,2025-07
01-08-2025,2025,Aug,8,Q3,2025-08
02-08-2025,2025,Aug,8,Q3,2025-08
03-08-2025,2025,Aug,8,Q3,2025-08
04-08-2025,2025,Aug,8,Q3,2025-08
05-08-2025,2025,Aug,8,Q3,2025-08
06-08-2025,2025,Aug,8,Q3,2025-08
07-08-2025,2025,Aug,8,Q3,2025-08
08-08-2025,2025,Aug,8,Q3,2025-08
09-08-2025,2025,Aug,8,Q3,2025-08
10-08-2025,2025,Aug,8,Q3,2025-08
11-08-2025,2025,Aug,8,Q3,2025-08
12-08-2025,2025,Aug,8,Q3,2025-08
13-08-2025,2025,Aug,8,Q3,2025-08
14-08-2025,2025,Aug,8,Q3,2025-08
15-08-2025,2025,Aug,8,Q3,2025-08
16-08-2025,2025,Aug,8,Q3,2025-08
17-08-2025,2025,Aug,8,Q3,2025-08
18-08-2025,2025,Aug,8,Q3,2025-08
19-08-2025,2025,Aug,8,Q3,2025-08
20-08-2025,2025,Aug,8,Q3,2025-08
21-08-2025,2025,Aug,8,Q3,2025-08
22-08-2025,2025,Aug,8,Q3,2025-08
23-08-2025,2025,Aug,8,Q3,2025-08
24-08-2025,2025,Aug,8,Q3,2025-08
25-08-2025,2025,Aug,8,Q3,2025-08
26-08-2025,2025,Aug,8,Q3,2025-08
27-08-2025,2025,Aug,8,Q3,2025-08
28-08-2025,2025,Aug,8,Q3,2025-08
29-08-2025,2025,Aug,8,Q3,2025-08
30-08-2025,2025,Aug,8,Q3,2025-08
31-08-2025,2025,Aug,8,Q3,2025-08
01-09-2025,2025,Sep,9,Q3,2025-09
02-09-2025,2025,Sep,9,Q3,2025-09
03-09-2025,2025,Sep,9,Q3,2025-09
04-09-2025,2025,Sep,9,Q3,2025-09
05-09-2025,2025,Sep,9,Q3,2025-09
06-09-2025,2025,Sep,9,Q3,2025-09
07-09-2025,2025,Sep,9,Q3,2025-09
08-09-2025,2025,Sep,9,Q3,2025-09
09-09-2025,2025,Sep,9,Q3,2025-09
10-09-2025,2025,Sep,9,Q3,2025-09
11-09-2025,2025,Sep,9,Q3,2025-09
12-09-2025,2025,Sep,9,Q3,2025-09
13-09-2025,2025,Sep,9,Q3,2025-09
14-09-2025,2025,Sep,9,Q3,2025-09
15-09-2025,2025,Sep,9,Q3,2025-09
16-09-2025,2025,Sep,9,Q3,2025-09
17-09-2025,2025,Sep,9,Q3,2025-09
18-09-2025,2025,Sep,9,Q3,2025-09
19-09-2025,2025,Sep,9,Q3,2025-09
20-09-2025,2025,Sep,9,Q3,2025-09
21-09-2025,2025,Sep,9,Q3,2025-09
22-09-2025,2025,Sep,9,Q3,2025-09
23-09-2025,2025,Sep,9,Q3,2025-09
24-09-2025,2025,Sep,9,Q3,2025-09
25-09-2025,2025,Sep,9,Q3,2025-09
26-09-2025,2025,Sep,9,Q3,2025-09
27-09-2025,2025,Sep,9,Q3,2025-09
28-09-2025,2025,Sep,9,Q3,2025-09
29-09-2025,2025,Sep,9,Q3,2025-09
30-09-2025,2025,Sep,9,Q3,2025-09
01-10-2025,2025,Oct,10,Q4,2025-10
02-10-2025,2025,Oct,10,Q4,2025-10
03-10-2025,2025,Oct,10,Q4,2025-10
04-10-2025,2025,Oct,10,Q4,2025-10
05-10-2025,2025,Oct,10,Q4,2025-10
06-10-2025,2025,Oct,10,Q4,2025-10
07-10-2025,2025,Oct,10,Q4,2025-10
08-10-2025,2025,Oct,10,Q4,2025-10
09-10-2025,2025,Oct,10,Q4,2025-10
10-10-2025,2025,Oct,10,Q4,2025-10
11-10-2025,2025,Oct,10,Q4,2025-10
12-10-2025,2025,Oct,10,Q4,2025-10
13-10-2025,2025,Oct,10,Q4,2025-10
14-10-2025,2025,Oct,10,Q4,2025-10
15-10-2025,2025,Oct,10,Q4,2025-10
16-10-2025,2025,Oct,10,Q4,2025-10
17-10-2025,2025,Oct,10,Q4,2025-10
18-10-2025,2025,Oct,10,Q4,2025-10
19-10-2025,2025,Oct,10,Q4,2025-10
20-10-2025,2025,Oct,10,Q4,2025-10
21-10-2025,2025,Oct,10,Q4,2025-10
22-10-2025,2025,Oct,10,Q4,2025-10
23-10-2025,2025,Oct,10,Q4,2025-10
24-10-2025,2025,Oct,10,Q4,2025-10
25-10-2025,2025,Oct,10,Q4,2025-10
26-10-2025,2025,Oct,10,Q4,2025-10
27-10-2025,2025,Oct,10,Q4,2025-10
28-10-2025,2025,Oct,10,Q4,2025-10
29-10-2025,2025,Oct,10,Q4,2025-10
30-10-2025,2025,Oct,10,Q4,2025-10
31-10-2025,2025,Oct,10,Q4,2025-10
01-11-2025,2025,Nov,11,Q4,2025-11
02-11-2025,2025,Nov,11,Q4,2025-11
03-11-2025,2025,Nov,11,Q4,2025-11
04-11-2025,2025,Nov,11,Q4,2025-11
05-11-2025,2025,Nov,11,Q4,2025-11
06-11-2025,2025,Nov,11,Q4,2025-11
07-11-2025,2025,Nov,11,Q4,2025-11
08-11-2025,2025,Nov,11,Q4,2025-11
09-11-2025,2025,Nov,11,Q4,2025-11
10-11-2025,2025,Nov,11,Q4,2025-11
11-11-2025,2025,Nov,11,Q4,2025-11
12-11-2025,2025,Nov,11,Q4,2025-11
13-11-2025,2025,Nov,11,Q4,2025-11
14-11-2025,2025,Nov,11,Q4,2025-11
15-11-2025,2025,Nov,11,Q4,2025-11
16-11-2025,2025,Nov,11,Q4,2025-11
17-11-2025,2025,Nov,11,Q4,2025-11
18-11-2025,2025,Nov,11,Q4,2025-11
19-11-2025,2025,Nov,11,Q4,2025-11
20-11-2025,2025,Nov,11,Q4,2025-11
21-11-2025,2025,Nov,11,Q4,2025-11
22-11-2025,2025,Nov,11,Q4,2025-11
23-11-2025,2025,Nov,11,Q4,2025-11
24-11-2025,2025,Nov,11,Q4,2025-11
25-11-2025,2025,Nov,11,Q4,2025-11
26-11-2025,2025,Nov,11,Q4,2025-11
27-11-2025,2025,Nov,11,Q4,2025-11
28-11-2025,2025,Nov,11,Q4,2025-11
29-11-2025,2025,Nov,11,Q4,2025-11
30-11-2025,2025,Nov,11,Q4,2025-11
01-12-2025,2025,Dec,12,Q4,2025-12
02-12-2025,2025,Dec,12,Q4,2025-12
03-12-2025,2025,Dec,12,Q4,2025-12
04-12-2025,2025,Dec,12,Q4,2025-12
05-12-2025,2025,Dec,12,Q4,2025-12
06-12-2025,2025,Dec,12,Q4,2025-12
07-12-2025,2025,Dec,12,Q4,2025-12
08-12-2025,2025,Dec,12,Q4,2025-12
09-12-2025,2025,Dec,12,Q4,2025-12
10-12-2025,2025,Dec,12,Q4,2025-12
11-12-2025,2025,Dec,12,Q4,2025-12
12-12-2025,2025,Dec,12,Q4,2025-12
13-12-2025,2025,Dec,12,Q4,2025-12
14-12-2025,2025,Dec,12,Q4,2025-12
15-12-2025,2025,Dec,12,Q4,2025-12
16-12-2025,2025,Dec,12,Q4,2025-12
17-12-2025,2025,Dec,12,Q4,2025-12
18-12-2025,2025,Dec,12,Q4,2025-12
19-12-2025,2025,Dec,12,Q4,2025-12
20-12-2025,2025,Dec,12,Q4,2025-12
21-12-2025,2025,Dec,12,Q4,2025-12
22-12-2025,2025,Dec,12,Q4,2025-12
23-12-2025,2025,Dec,12,Q4,2025-12
24-12-2025,2025,Dec,12,Q4,2025-12
25-12-2025,2025,Dec,12,Q4,2025-12
26-12-2025,2025,Dec,12,Q4,2025-12
27-12-2025,2025,Dec,12,Q4,2025-12
28-12-2025,2025,Dec,12,Q4,2025-12
29-12-2025,2025,Dec,12,Q4,2025-12
30-12-2025,2025,Dec,12,Q4,2025-12
31-12-2025,2025,Dec,12,Q4,2025-12
